title,body,status,priority,assignee,labels,type,dueDate,estimate
Views table should open saved view rows,"The Views screen should default to a table of saved views instead of an empty explanatory panel.\n\nAcceptance:\n- Personal and shared sections render as table rows.\n- Clicking a row opens the saved issue view.\n- Owner and visibility metadata are visible without opening the view.",todo,high,robert,frontend;views,issue,2026-06-18,3
Create dialog should apply template defaults,"Selecting a template in the issue composer should apply the template defaults before the user submits the ticket.\n\nAcceptance:\n- Status priority labels and type are populated from the chosen template.\n- User-entered title text is preserved.\n- Clearing the template returns to manual defaults.",in-progress,high,maya,frontend;templates,issue,2026-06-19,5
Persist actor user profile on first ticket write,"When a human actor creates their first ticket the repository should receive a matching shared user profile record in the users collection.\n\nAcceptance:\n- The ticket and profile are committed together.\n- The profile uses the actor email as the stable identity.\n- Repeated writes do not duplicate the profile.",done,high,robert,database;gitdb;users,issue,2026-06-14,2
Saved view filters should survive repository sync,"Saved views need to round trip through GitDB so another machine can pull the repository and use the same filtered view.\n\nAcceptance:\n- Query group and sort settings are restored after sync.\n- Unknown optional display fields are ignored safely.\n- Pinned shared views appear in navigation.",todo,high,sam,views;sync;gitdb,issue,2026-06-21,5
Issue detail metadata editors need optimistic disabled states,"The issue detail sidebar should prevent duplicate metadata writes while a status priority assignee label or due date update is in flight.\n\nAcceptance:\n- Controls remain readable while disabled.\n- Failed updates restore the previous visible value.\n- The user receives a concise error message.",backlog,medium,alex,frontend;improvement,issue,2026-06-24,3
Projection should list labels by archived state,"The local projection should support listing active labels separately from archived labels so creation pickers stay clean.\n\nAcceptance:\n- Active queries exclude archived labels by default.\n- Archived queries return only archived labels.\n- Text filtering still works in both modes.",done,medium,priya,database;labels,issue,2026-06-16,2
API schemas should accept partial template defaults,"Template create and update API inputs should accept partial issue defaults without requiring a title or body.\n\nAcceptance:\n- Defaults can include status priority labels assignee and type.\n- Invalid relation objects are rejected.\n- Existing clients that omit defaults still pass.",done,high,sam,api;templates,issue,2026-06-15,3
Triage view should surface unassigned backlog,"Create a saved view for intake work so unsorted issues are visible before they are assigned or moved into active statuses.\n\nAcceptance:\n- The view filters backlog items with no assignee.\n- Sorting puts oldest created issues first.\n- The view is available from the default navigation set.",todo,medium,maya,views;triage,issue,2026-06-20,2
Repository history should include view and template changes,"Repository history should show metadata changes alongside issue changes so users can understand why navigation or defaults changed.\n\nAcceptance:\n- Saved view create update and archive events are visible.\n- Template changes include the template name.\n- Entries include actor time and snapshot id.",backlog,medium,robert,history;gitdb,issue,2026-06-27,5
Default templates should seed into new repositories,"New repositories should start with practical issue templates for bugs features implementation tasks initiatives and QA follow-up.\n\nAcceptance:\n- Templates are committed as repository metadata.\n- Defaults align with existing statuses and priorities.\n- Users can edit or disable seeded templates.",in-progress,high,priya,templates;database,issue,2026-06-22,5
Blocked work filter should include inverse relations,"A view filter for blocked work should match issues that are either blocked by another issue or have an inverse blocking relation.\n\nAcceptance:\n- Relation queries can find both sides of a blocking relationship.\n- Duplicate and related relations are not included.\n- Results remain stable when sorted by priority.",todo,high,sam,database;relations,issue,2026-06-25,3
Views page should support keyboard row activation,"Saved view rows should behave like selectable table rows for keyboard users.\n\nAcceptance:\n- Tab focuses the row action target.\n- Enter opens the selected view.\n- Focus styling is visible in dark mode.",backlog,medium,maya,frontend;accessibility;views,issue,2026-06-28,2
CSV importer should reject missing required titles,"The sample ticket importer should fail early when a CSV row omits a title or body.\n\nAcceptance:\n- The error includes the CSV row number.\n- Dry run performs the same validation.\n- No tickets are written after validation fails.",todo,low,alex,import;qa,issue,2026-06-30,1
Sample data should create label definitions before tickets,"The sample importer should create label metadata before writing tickets that reference those labels.\n\nAcceptance:\n- Labels have stable normalized ids.\n- Re-running the importer updates label definitions safely.\n- Ticket rows can use semicolon or pipe separated labels.",todo,medium,priya,import;labels,issue,2026-06-26,2
Issue list should show label colors from projection,"Issue rows should use projected label definitions for display names and colors instead of only showing raw label ids.\n\nAcceptance:\n- Known labels render with their configured color.\n- Unknown labels still render as readable fallback pills.\n- Rows do not shift height when labels load.",in-progress,medium,maya,frontend;labels,issue,2026-06-23,3
Initiative progress should count completed estimates,"Initiative progress summaries should include completed issue count and completed estimate totals.\n\nAcceptance:\n- Done child issues contribute to completed totals.\n- Archived children are excluded from active progress.\n- Missing estimates count as zero.",todo,medium,sam,initiatives;database,issue,2026-07-01,5
View detail should hide nested saved-view selector,"When the user is already inside a saved view the page should not show another saved-view selector that changes the same context.\n\nAcceptance:\n- The top-level title reflects the active view.\n- Filtering controls stay available.\n- Navigating back returns to the saved views table.",done,medium,robert,frontend;views,issue,2026-06-17,2
User picker should use shared profile display names,"Assignee pickers should show user profile display names from repository metadata while storing the stable user id.\n\nAcceptance:\n- Known users show display name and email.\n- Unknown assignee ids are still selectable as plain text.\n- Disabled users are hidden from default assignment suggestions.",todo,medium,alex,frontend;users,issue,2026-06-29,3
Projection migration should add metadata tables safely,"Projection setup should include metadata tables for users labels saved views templates initiatives and records without breaking existing repositories.\n\nAcceptance:\n- Existing issue projection tests still pass.\n- Empty metadata collections produce empty pages.\n- Rebuilding projection from GitDB is deterministic.",done,high,priya,database;migration,issue,2026-06-18,5
Archive label should hide it from creation pickers,"Archiving a label should remove it from issue creation and update pickers without removing it from existing issues.\n\nAcceptance:\n- Existing issues continue to display the archived label.\n- New issue pickers exclude archived labels.\n- Archived labels can be restored later.",backlog,low,maya,labels;frontend,issue,2026-07-03,2
Template picker should preserve custom title text,"Opening the template picker after typing a custom title should not overwrite the title unless the user explicitly applies a title template.\n\nAcceptance:\n- Body template content can be inserted independently.\n- Existing typed title remains visible.\n- Applying a template is reversible before submit.",todo,medium,alex,templates;frontend,issue,2026-06-26,3
Search box should combine with active saved view query,"Search entered inside a saved view should narrow that view rather than replacing the saved query.\n\nAcceptance:\n- View filters remain active while text search is applied.\n- Clearing search returns to the saved view result set.\n- The current search text is not persisted unless the user saves a new view.",in-progress,high,sam,search;views,issue,2026-06-24,3
GitDB document ids should accept email filenames,"The GitDB identifier schema should allow email-shaped filenames so user records can use email addresses directly as document ids.\n\nAcceptance:\n- User profile ids can include at signs and dots.\n- Unsafe path characters remain rejected.\n- Existing issue ids continue to validate.",done,high,robert,gitdb;users,issue,2026-06-13,2
Issue record activity should separate comments and updates,"The issue activity feed should distinguish user comments from metadata updates and system provenance records.\n\nAcceptance:\n- Comments render as primary conversation entries.\n- Status and priority changes render as compact activity rows.\n- Hidden records stay out of the default feed.",backlog,medium,priya,activity;records,issue,2026-07-02,5
Desktop build should verify renderer metadata routes,"The desktop package should have coverage for renderer queries and mutations that call metadata API routes.\n\nAcceptance:\n- Saved view query hooks call the correct API routes.\n- Template and label mutations invalidate relevant cached queries.\n- Tests can run without a live desktop window.",todo,low,sam,desktop;qa,issue,2026-07-05,2
